ticker,platform,kappa,theta,xi,rho,v0,lambda_j,mu_j,sigma_j,feller_satisfied,converged,mse,log_likelihood,log_likelihood_heston,lr_statistic,p_value_jump_significance,n_obs
0x42e7fa3bd683a276dae0292f0ab910ac18eb76ce7cf014ec9203f6539768735a,polymarket,0.01,4.987596894033786,0.2690559279960758,-0.3,1e-06,48.77360812480072,0.0,1.4345033067921154,True,True,706.3364650969705,-1090.2242198817194,-1188.4648593133952,196.4812788633517,2.428995858598664e-42,232
0x4a5b5f52c6e7f2af6b06462c92d12ea7bd1662c87be11828da0722ff32373b36,polymarket,0.01,3.3629740667235977,0.2582583040152805,0.5,1e-06,21.77506355585618,-2.9191823121128864,1.8445830520184079,True,True,2294.410290459649,-1142.275325805815,-1302.2447442272432,319.9388368428563,4.808271373369671e-69,216
0x4c21fdaee92538da1af2d227e7688673fe8789decff537003cd3b67b0ecb1b8d,polymarket,0.01,10.0,0.4245303427656193,-0.3,5.0,100.0,5.0,3.0,True,True,35797.59671327329,-1432.533382181069,-266.03750235805467,0.0,1.0,18
0x50555c7f34fc16f03d84dd3c5f416506e53455515a8ca82c0fa90a2f8cacb5d3,polymarket,0.01,10.0,0.25952994425776077,-0.3,5.0,100.0,5.0,3.0,True,True,19098.3298518317,-319.03812657888693,-243.78461853383016,0.0,1.0,21
0x534da3946b8da84a8687e346e735fcc1d7c7078c057b1a7769cb9991b3e67968,polymarket,0.01,3.433359455538754,0.01,0.0,1e-06,28.339337511660695,3.149221727038698,0.001,True,True,3297.9290754483563,-1411.2018220654584,-1626.0581524544305,429.71266077794417,8.102473223201844e-93,258
0x547171b466f04230c9a6bfd13a71fb24de3442e10ce5cea95232d970f36fd5bf,polymarket,0.01,3.067579949860391,0.01,-0.3,1e-06,30.148341469619627,0.0,2.999421450496985,True,True,2518.45477286038,-1419.0302223825363,-1682.871609156187,527.6827735473016,4.7762696935427555e-114,266
0x55c551896c10a74861f2fd88b4f928694310114704cc74b29b9760d1156cade6,polymarket,0.01,9.989967295377454,0.01,-0.5,1e-06,99.99680968622722,0.0,1.6086411043807398,True,True,1620.8392814609674,-1406.4309542355306,-1753.18504592089,693.5081833707186,5.36663600070479e-150,275
0x5df9458d9918da733d784bc2a07768b293d10826385a3eb31dd716f99475dc79,polymarket,0.01,10.0,0.39910086974379255,-0.3,5.0,100.0,5.0,3.0,True,True,50497.857005439204,-624.4870220056113,-242.39754559304657,0.0,1.0,16
0x5e9dcbf5748f0d4df34dc4795add11e59d529dbd08bd597966e8cb83a266565a,polymarket,0.01,1.3174563685053968,0.12665662914402356,0.5,4.221512210824617,3.916933178508761,-3.18812459908004,2.011889192262311,True,True,27.50496435015224,-129.1971151088832,-130.56602644403685,2.7378226703073096,0.43383794674994525,42
0x63634b4e14297a748923f86dca4fa0c6c659db0f5fadeeb8e419e48e20759c34,polymarket,0.01,9.925240122653271,0.01,-0.3,5.0,99.8866404365809,-1.4676277645396008,0.8801175805742801,True,True,1908.3809621554542,-1361.3372863922839,-1743.5501061458153,764.4256395070629,2.24520589376489e-165,262
0x642926331d650ed2e4e1da2593f388cd803b4f283e09218fc1c5de90087b585c,polymarket,23.097404098287452,0.39726428519816864,1.0,0.0,1e-06,5.923777812068388,-1.697041036913259,0.10814502482038733,True,True,0.4188814779854101,-190.8678506205746,-199.4703325513396,17.204963861530018,0.0006413499847133211,194
0x653483009043f1663360bc35ed8fb542d3f9453916082d20ff025adaa2fe7032,polymarket,0.01,9.99938988554577,0.01,-0.5,1e-06,1.5134423205713623,0.0,2.9999998626212787,True,True,67.0754199804981,-669.1538704723062,-672.0172658945169,5.72679084442143,0.12568600269157548,190
0x67a072e839762191a7931e405923110d52343ef6dc1d61cfc0720233951c03e4,polymarket,0.01,1.3554148269730497,0.1314974233651432,-0.3,1e-06,2.945112120902762,-4.960145076189869,2.9760840467988894,True,True,36.17564041056179,-131.74001290871234,-134.80754630367608,6.135066789927464,0.10522068385963429,41
0x692cf1efb4aeb95f38a02b2b06085fee7f0e531967e12b996d4a1efeb1d570cf,polymarket,0.01,9.999999859732371,0.21919601147905457,0.0,1e-06,99.99967095837404,4.76041982305352,2.8588034140059104,True,True,2946.8781334917885,-167.8227811067042,-204.27540587682853,72.90524954024863,1.0185554086894724e-15,31
0x696baf880832d000a37ea87cc94235b1ac58e7e9fe7a144ccf5d141877629134,polymarket,0.01,10.0,0.01,-0.3,1e-06,99.97676251334056,0.0,1.8289458077227783,True,True,1531.390954238051,-1332.5083475143463,-1745.9719294553047,826.9271638819168,6.255266643894213e-179,262
0x70ee5e1d18a794f36d3c50b7215bd203e00f702d71fa0f0014466f98afe35a09,polymarket,0.01,10.0,0.23149931867570492,-0.3,1e-06,100.0,5.0,3.0,True,True,3555.64364240346,-170.72207117636506,-208.6545528092652,75.86496326580027,2.3643332337415257e-16,31
0x73ac4c1e5be0a89685328c9f5b833d828ffd62dfa07ceaf8536edbc43aa5f51e,polymarket,0.01,6.41624880003131,0.3554230314392686,0.0,0.8865494866512756,64.02759558747634,2.0046095285552443,1.179854790731672,True,True,1190.03821158922,-1294.5101180165027,-1782.8190754892319,976.6179149454583,2.1250087458049235e-211,261
0x78e20dcb15d578061a6df0c5014d66cc21244bad6848336f3513493c65cf09c1,polymarket,0.01,10.0,0.01,-0.5,1e-06,99.55985289799823,0.0,1.430297471278789,True,False,2214.2463157266266,-996.093317731187,-1079.0182091015365,165.84978274069908,1.0013135656555547e-35,189
0x7da35195ac3c7bf167f88ab0c27067a99020e36de67d39968b71d9debcdd925e,polymarket,0.01,8.91419726606667,0.27730741341462833,-0.3,1e-06,29.76012609126247,0.0,2.850126439319166,True,True,3113.5010052128537,-1474.4776281875725,-1681.302652792545,413.6500492099449,2.44532069437349e-89,271
0x814f5f4ed96cc3666fc05923f42bb1fd7f9c436dfc923d06a624904bbe0b05f8,polymarket,0.01,8.866970663858769,0.01,0.0,5.0,87.48478037569234,4.088128652394471,2.4129249828339767,True,True,4399.880503819488,-196.47617037174172,-224.14837124497114,55.34440174645886,5.7974564428033265e-12,35
0x86797195cdde3c3a30e2b1b9503bc727fe787845228e9876ed9bc380aa021148,polymarket,0.01,10.0,0.10971370861445723,-0.3,5.0,100.0,5.0,3.0,True,True,11552.333846434693,-215.06950178091,-203.7591787581329,0.0,1.0,23
0x95153ddd005326dc5dcadbeccc51ffad40e0fa9dac5bd18b242b42eed61d3a6c,polymarket,0.01,9.990941472098008,0.01,-0.5,2.569543020176665,20.30052952570091,0.0,1.9175854427605132,True,True,15.26113731614881,-147.42444539621195,-152.6978879101859,10.546885027947894,0.014446198683031621,53
0x96f6fb6567b5938fc3c2e75f9829d7287340b9581a9c4817b8bc0aff82e1c45f,polymarket,0.01,10.0,0.01,-0.5,1e-06,25.205227874277625,0.0,1.8298731117376272,True,True,530.011576966265,-874.6447453038757,-925.1857084223616,101.08192623697187,9.09598785424248e-22,192
0x972520d8ed44dcd71fff95b44e2593750d0e44323a5ccd2ce4bbbc540427bce9,polymarket,0.01,6.162690293761363,0.01,0.0,1e-06,56.93475893069389,2.412348055857016,0.9979654458782374,True,True,2997.5686953826507,-1127.7296137869735,-1342.3112003985582,429.16317322316945,1.0657632607711535e-92,208
0x9876cd5626a39e33e073159b813199f48ee860c8279f67244ee085dc7a9f0b41,polymarket,50.0,9.999999882834938,0.01,-0.5,5.0,31.223764612249006,0.0,2.49510821243511,True,True,90.4571700781365,-135.8468922892552,-138.48799997385493,5.2822153691994345,0.15226058059890113,37
0x9b277b355e9fff465381229667e064abb97ee74934af5e1a2278293f41e69708,polymarket,0.01,6.221109133922368,0.3,0.5,1e-06,56.08863912394783,-2.5525109168782816,1.7526927890620778,True,True,1166.6378374596975,-895.935227292414,-1229.4463443538568,667.0222341228857,2.96908109848654e-144,181
