conditionId,question,category,open_time,close_time,duration_days,trade_count,is_fed,is_political,has_uma_dispute
0x6a031c4888fcfb886861d3616cce760ea284dbf46e355b197400c2b12a4c37a6,Will JD Vance win the 2024 Republican VP nomination?,,2024-01-18 00:00:00+00:00,2024-09-05 00:00:00+00:00,231,6452293,FALSE,TRUE,TRUE
0xdb1c6497f967a07e89f2956f10edfd3289443e46c6453058f0934ae32936d3a4,Will Katie Britt win the 2024 Republican VP nomination?,,2024-01-18 00:00:00+00:00,2024-09-05 00:00:00+00:00,231,3244929,FALSE,TRUE,TRUE
0x5acad359612174a78b4815a95412aff62fa35ef3411e1bd59fa2fdf7b7699601,Will Nancy Mace win the 2024 Republican VP nomination?,,2024-01-18 00:00:00+00:00,2024-09-05 00:00:00+00:00,231,2126932,FALSE,TRUE,TRUE
0xd013360f1511a7cbb64b70aa0089ce9a0b3f4ebc23dc4a6892e6d38aa8132ea8,Will Marjorie Taylor Greene win the 2024 Republican VP nomination?,,2024-01-18 00:00:00+00:00,2024-09-05 00:00:00+00:00,231,2854968,FALSE,TRUE,TRUE
0x2810294fd661eae12ca2d889d9126fbf6716b8209ff11ec719989ede5766a534,Istanbul Mayoral Election 2024: Will CHP win?,,2024-02-27 00:00:00+00:00,2024-03-31 00:00:00+00:00,33,25660,FALSE,TRUE,TRUE
0x2efede775afc2ce7d2aab10e44e4f7f4cd9acd2ca4b7cafb7d05a0c7eb521c8b,Istanbul Mayoral Election 2024: Will AK win?,,2024-02-27 00:00:00+00:00,2024-03-31 00:00:00+00:00,33,17905,FALSE,TRUE,TRUE
0x3dd5115fa2533aef134177028f8f418c00165b72c33616310fe19cc14ca17177,Istanbul Mayoral Election 2024: Will another party win?,,2024-02-27 00:00:00+00:00,2024-03-31 00:00:00+00:00,33,12022,FALSE,TRUE,TRUE
0xe6927f6c80f48462544d6781fe4aef055c7be28efe77a4e64d597109794aad0a,Will Steve Garvey advance from the 2024 CA Senate Primary?,,2024-01-26 00:00:00+00:00,2024-03-05 00:00:00+00:00,39,35318,FALSE,TRUE,TRUE
0x31aafb7b283edd5c841086cbf43807f2fe53fd36638bfb09e2edefd3b567cfbe,Will Mike Pompeo win the 2024 Republican VP nomination?,,2024-01-30 00:00:00+00:00,2024-09-09 00:00:00+00:00,223,2481274,FALSE,TRUE,TRUE
0xb0f35ef24df5dedc6f05d78dd5227d2d2a9a8389809cb09dd232ab5e52db1cc8,Will Marco Rubio win the 2024 Republican VP nomination?,,2024-01-30 00:00:00+00:00,2024-09-09 00:00:00+00:00,223,3619916,FALSE,TRUE,TRUE
0xaafae2f4f25c0a1785d421d152b2a30cb04042d2370e5a04762fe70abb97d6c4,Will Wesley Hunt win the 2024 Republican VP nomination?,,2024-01-30 00:00:00+00:00,2024-09-09 00:00:00+00:00,223,2202587,FALSE,TRUE,TRUE
0x4b42c17d638e0054120d84a48212d84cfff94bec59d7249c2283f12119861c22,Will Henry McMaster win the 2024 Republican VP nomination?,,2024-01-30 00:00:00+00:00,2024-09-09 00:00:00+00:00,223,1748824,FALSE,TRUE,TRUE
0x6db528a803c762a17e401e751e59c6dd4776e510fb4cc093d2c28f8e1028a945,Will Lee Zeldin win the 2024 Republican VP nomination?,,2024-01-30 00:00:00+00:00,2024-09-09 00:00:00+00:00,223,2680996,FALSE,TRUE,TRUE
0xf4e6589ca397e61af654e4c801569d41b4fa9e97a25a846f625b833d9f964bd0,Will a Trump family member win the 2024 Republican VP nomination?,,2024-01-30 00:00:00+00:00,2024-09-09 00:00:00+00:00,223,3805135,FALSE,TRUE,TRUE
0x3addbd9ce42c7e91ccf7575fb4ebb8b7168d534a7e7d91312746dde58e0a9275,Will another man win the 2024 Republican VP nomination?,,2024-01-30 00:00:00+00:00,2024-09-09 00:00:00+00:00,223,2726180,FALSE,TRUE,TRUE
0x0317ed1eeb46a4f7b517925b61bbf94d8371ba45c58a0c2eb89d447e87aba711,Will another woman win the 2024 Republican VP nomination?,,2024-01-30 00:00:00+00:00,2024-09-09 00:00:00+00:00,223,2952937,FALSE,TRUE,TRUE
0xcdcbe22d75154a6063c32f42319a56d51b72cbc51952f574f0477af36dbcfe93,Will Mike Pence win the 2024 Republican VP nomination?,,2024-01-30 00:00:00+00:00,2024-09-09 00:00:00+00:00,223,2873124,FALSE,TRUE,TRUE
0x25c698987a1021d6cc0ec4a0300d9e2134226bdfefac242b2a1b455e2980c3eb,"Will Joe Biden be President of the United States on June 1, 2024?",,2024-01-30 00:00:00+00:00,2024-06-01 00:00:00+00:00,123,41575,FALSE,TRUE,TRUE
0xb9562403498631638145e360d4d1e6c0b4d6329409fe9a383909efe9eda9a6a0,Ilhan Omar expelled from Congress before March?,,2024-01-31 00:00:00+00:00,2024-02-29 00:00:00+00:00,29,3359,FALSE,TRUE,TRUE
0x86d9fc71e1e67d25d39057f1a35ef79cc905752c373294316dc8c1a6114c5e51,Will Sinema announce she's running for re-election?,,2024-01-31 00:00:00+00:00,2024-04-08 00:00:00+00:00,68,67671,FALSE,TRUE,TRUE
0xfad14932325af166b81190e1f3c0d7ed892357551e5a77f064813f2de5a1b40a,Canada federal election in 2024?,,2024-01-31 00:00:00+00:00,2024-12-31 00:00:00+00:00,335,1863854,FALSE,TRUE,TRUE
0xd4a957e7b51fc2e74c4f1909583972011772eda01aada975251aeaffbbc73f56,Will the Fed decrease interest rates by 50+ bps after its March 2024 meeting?,,2024-01-31 00:00:00+00:00,2024-03-18 00:00:00+00:00,47,13322,TRUE,FALSE,TRUE
0xa1d06c273030c75b85ecfee08b2ff1f0e510c07f12152f81c707eb83deaab8ba,No change in Fed raise interest rates after its 2024 March meeting?,,2024-01-31 00:00:00+00:00,2024-03-18 00:00:00+00:00,47,63023,TRUE,FALSE,TRUE
0x70ee5e1d18a794f36d3c50b7215bd203e00f702d71fa0f0014466f98afe35a09,Will the Fed decrease interest rates by 25 bps after its 2024 March meeting?,,2024-01-31 00:00:00+00:00,2024-03-18 00:00:00+00:00,47,8974,TRUE,FALSE,TRUE
0xdf3b361f2617570e0abc10ece5e350a979c5e1e58ad5a2b5147e023ade4d9311,Will the Fed raise interest rates by 25+ bps after its 2024 March meeting?,,2024-01-31 00:00:00+00:00,2024-03-18 00:00:00+00:00,47,197105,TRUE,FALSE,TRUE
0x1e14c1e407a8aa7a727fadf74049b255a93f1c22f137d6a244ea64604b5b36d5,Fed rate cut by June 12?,,2024-01-31 00:00:00+00:00,2024-06-12 00:00:00+00:00,133,1253483,TRUE,FALSE,TRUE
0x2ef75b6b66c19e98c20c1d6970b3de2d7cfb6eb28680133a7173fb2e158f6863,Will Michelle Obama announce presidential run before August?,,2024-02-01 00:00:00+00:00,2024-07-31 00:00:00+00:00,181,1483098,FALSE,TRUE,TRUE
0x14bf4dd2b3912844e0c58201ace5379208a7c1a421b66e6ce176bce42ef503a9,Will Courtney Najera lose CA-30 primary?,,2024-02-01 00:00:00+00:00,2024-03-05 00:00:00+00:00,33,500,FALSE,TRUE,TRUE
0x5338d1de000b91193e3ea4a066bef50d73c77d0d4ace294e474a236599608dc3,Will Trump election interference trial start in July or earlier?,,2024-02-15 00:00:00+00:00,2024-07-29 00:00:00+00:00,165,21852,FALSE,TRUE,TRUE
0x77ac6afb0079727f461b5ceecab05a3407bd6ae78f59084f7f4054a6c17d5af4,Will Trump election interference trial start in August?,,2024-02-15 00:00:00+00:00,2024-08-29 00:00:00+00:00,196,26789,FALSE,TRUE,TRUE
0xc84158739db6f15f33ad8518b509cd0688baa794209759e628bd025f01927b4c,Will Trump election interference trial start in September or October?,,2024-02-15 00:00:00+00:00,2024-10-29 00:00:00+00:00,257,111271,FALSE,TRUE,TRUE
0x3b692dcdd40f9bfdd313e251c0d5fa4b7cfb60194f321d2e81ef2c846523543d,Trump election interference trial doesn't start before November?,,2024-02-15 00:00:00+00:00,2024-10-30 00:00:00+00:00,258,2039239,FALSE,TRUE,TRUE
0x19120414e0b7b170bb81ab518317f6926c2bb633167e4b11981ef7c078cea739,Fed rate cut by July 31?,,2024-02-13 00:00:00+00:00,2024-07-31 00:00:00+00:00,169,1727507,TRUE,FALSE,TRUE
0x002a797edf040e8a053e62b26d85a0292df091c5cacb303ae31407c8a050a32c,Will Matt Gaetz be expelled from Congress before May?,,2024-02-16 00:00:00+00:00,2024-04-30 00:00:00+00:00,74,65354,FALSE,TRUE,TRUE
0x04787bbd66241501604f377f11b897879c1593b019bb3363dac0a73e99b4a131,Will Fed cut interest rates 0 times in 2024?,,2024-03-21 00:00:00+00:00,2024-12-30 00:00:00+00:00,284,2049580,TRUE,FALSE,TRUE
0xb3e11395bc67c2ad811de3ea4f58d47778e7a7d209eb73bc04a21c5a7472c186,Will Fed cut interest rates 1 time in 2024?,,2024-03-21 00:00:00+00:00,2024-12-30 00:00:00+00:00,284,1407495,TRUE,FALSE,TRUE
0x42e7fa3bd683a276dae0292f0ab910ac18eb76ce7cf014ec9203f6539768735a,Will Fed cut interest rates 2 times in 2024?,,2024-03-21 00:00:00+00:00,2024-12-30 00:00:00+00:00,284,3982525,TRUE,FALSE,TRUE
0x260fd9d6b10746909a26c2af7a68b409f757c95a07dc57ddd480774a36c8399b,Will Fed cut interest rates 3 times in 2024?,,2024-03-21 00:00:00+00:00,2024-12-30 00:00:00+00:00,284,8337156,TRUE,FALSE,TRUE
0x9d1f0296f3a016727193d2b45704e0debc3b8048fe0715f8bb1e91550d321872,Will Fed cut interest rates 4 times in 2024?,,2024-03-21 00:00:00+00:00,2024-12-30 00:00:00+00:00,284,6812524,TRUE,FALSE,TRUE
